,Unnamed: 0,src_ip,subnet,active_days,asn,country,city,scan_length_seconds,median_time_diff,distinct_src_ports,distinct_dest_ports,q1_prev_ip,median_prev_ip,q3_prev_ip,distinct_ips,total_hits,probes_per_ip,distinct_fingerprints,distinct_payloads,avg_payload_length,q1q3_delta,top_port,top_fingerprint,generation_algorithm,top_start_hour,top_end_hour,label
224887,224895,1152847825.0,1152847616.0,3,14061.0,NL,Amsterdam,52591.66666666666,1000.0,9821.666666666666,1.0,-17980244.0,320.3333333333333,17981685.333333332,39854.333333333336,41355.333333333336,1.029388608536838,2.0,1.0,0.0,1441.3333333333333,80.0,11.0,5.0,0.0,23.0,547
338151,338169,1742741890.0,1742741760.0,1,45536.0,IN,Coimbatore,42667.0,3000.0,9097.0,1.0,-46041.0,-1.0,45751.0,9787.0,9787.0,1.0,1.0,1.0,0.0,-290.0,3306.0,11.0,5.0,12.0,23.0,547
344426,344444,1760322338.0,1760322304.0,2,14061.0,US,Clifton,60693.5,0.0,9689.0,1.0,-1.0,0.0,1.0,15292.5,15292.5,1.0,1.5,1.0,0.0,0.0,5432.0,11.0,2.0,0.0,17.0,547
565857,565889,2230819113.0,2230819072.0,3,278.0,MX,Mexico City,66986.66666666667,3000.0,8495.333333333334,1.0,-9897.333333333334,0.0,9763.666666666666,13078.333333333334,24383.0,1.8638682048451372,1.0,1.0,0.0,-133.66666666666666,1433.0,11.0,5.0,0.0,23.0,547
632333,632370,2563282314.0,2563282176.0,2,3816.0,CO,Bogotá,62382.5,3000.0,8569.5,1.0,-13809.5,0.0,13789.0,12420.0,13915.0,1.1206822889085823,1.0,1.0,0.0,-20.5,1433.0,11.0,5.0,0.0,13.0,547
653258,653295,2671865848.0,2671865600.0,5,14061.0,US,Santa Clara,43934.8,0.0,9253.0,1.0,-0.2,0.2,1.0,17400.4,17430.0,1.0018258080434248,1.6,1.0,0.0,0.0,5432.0,11.0,1.0,0.0,23.0,547
660693,660730,2700226690.0,2700226560.0,2,33763.0,ZM,Lusaka,40388.0,0.0,10823.0,1.0,-102.5,1.0,103.5,13614.5,28157.0,2.3412085216451186,1.5,1.0,0.0,1.0,22.0,11.0,2.0,0.0,16.0,547
