,Unnamed: 0,src_ip,subnet,active_days,asn,country,city,scan_length_seconds,median_time_diff,distinct_src_ports,distinct_dest_ports,q1_prev_ip,median_prev_ip,q3_prev_ip,distinct_ips,total_hits,probes_per_ip,distinct_fingerprints,distinct_payloads,avg_payload_length,q1q3_delta,top_port,top_fingerprint,generation_algorithm,top_start_hour,top_end_hour,label
771815,771858,3093924679.0,3093924608.0,20,6939.0,US,,66407.95,0.0,10598.15,43.9,-17976729.55,55.0,17976070.25,12000.85,13323.35,1.1086328002804344,1.0,1.35,0.9021032976980118,-659.3,80.0,1.0,5.0,1.0,19.0,573
771816,771859,3093924680.0,3093924608.0,20,6939.0,US,,66411.55,0.0,10949.8,44.9,-17081283.6,43.25,17080615.7,12473.25,13923.35,1.1149541687850186,1.0,1.4,0.8357154772962818,-667.9,80.0,1.0,5.0,1.0,19.0,573
771817,771860,3093924681.0,3093924608.0,20,6939.0,US,,66149.5,0.0,10829.15,44.45,-17083133.9,16.425,17083134.8,12336.75,13773.8,1.113560070805019,1.0,1.45,1.246396976763973,0.9,80.0,1.0,5.0,1.0,19.0,573
771818,771861,3093924682.0,3093924608.0,20,6939.0,US,,66180.75,0.0,10588.05,43.0,-17082074.0,17.775,17081642.05,11991.9,13346.95,1.1104690938441983,1.0,1.4,1.0102066175862905,-431.95,80.0,1.0,5.0,1.0,19.0,573
771819,771862,3093924683.0,3093924608.0,20,6939.0,US,,66836.2,0.0,11035.95,46.2,-17082541.8,3.925,17083101.55,12560.4,14032.15,1.115777795974917,1.0,1.25,0.5624585825943134,559.75,789.0,1.0,5.0,1.0,19.0,573
771820,771863,3093924684.0,3093924608.0,20,6939.0,US,,66370.55,0.0,11076.1,45.05,-17081217.5,39.85,17081935.2,12601.2,14080.25,1.1164700441412538,1.0,1.3,0.8842207626504848,717.7,80.0,1.0,5.0,1.0,19.0,573
771822,771865,3093924686.0,3093924608.0,20,6939.0,US,,66271.0,0.0,10674.6,44.1,-17083490.35,-38.475,17977104.75,12085.25,13429.0,1.1099353249759472,1.0,1.1,0.2492648094149069,893614.4,80.0,1.0,5.0,1.0,19.0,573
771826,771869,3093924690.0,3093924608.0,20,6939.0,US,,66417.45,0.0,10673.55,43.7,-17081844.1,82.8,17081802.4,12096.85,13453.3,1.1113368536318589,1.0,1.45,0.9901529134456538,-41.7,80.0,1.0,5.0,1.0,19.0,573
771827,771870,3093924691.0,3093924608.0,20,6939.0,US,,66279.9,0.0,10853.05,45.2,-17978976.9,96.175,17977687.4,12322.2,13734.2,1.1131700507370916,1.0,1.35,0.9830722415811884,-1289.5,80.0,1.0,5.0,1.0,19.0,573
771832,771875,3093924696.0,3093924608.0,20,6939.0,US,,66743.8,0.0,10413.35,42.45,-17977551.5,-23.575,17082613.35,11779.3,13056.8,1.1060308669906058,1.0,1.25,0.5422420493994393,-894938.15,80.0,1.0,5.0,1.0,19.0,573
771834,771877,3093924698.0,3093924608.0,20,6939.0,US,,66147.1,0.0,10794.0,44.4,-17081667.0,3.75,17082008.45,12248.15,13634.75,1.111906225503948,1.0,1.45,1.1127641545418956,341.45,80.0,1.0,5.0,1.0,19.0,573
771835,771878,3093924699.0,3093924608.0,20,6939.0,US,,66082.65,0.0,11155.9,46.95,-17081972.6,33.075,17082606.6,12713.85,14227.8,1.11828135294726,1.0,1.35,0.8343435914524691,634.0,80.0,1.0,5.0,1.0,19.0,573
771836,771879,3093924700.0,3093924608.0,20,6939.0,US,,66493.75,0.0,10217.7,42.3,-17083040.75,-16.975,16187491.5,11499.15,12731.15,1.104788900300137,1.0,1.5,1.2919031883947245,-895549.25,80.0,1.0,5.0,1.0,19.0,573
771839,771882,3093924703.0,3093924608.0,20,6939.0,US,,66607.15,0.0,10865.25,45.05,-17082634.7,13.125,17082183.85,12347.4,13763.15,1.1135019987681198,1.0,1.45,1.1005518135331256,-450.85,80.0,1.0,5.0,1.0,19.0,573
771840,771883,3093924704.0,3093924608.0,20,6939.0,US,,66753.25,0.0,10330.25,43.0,-16186389.25,-14.425,17081667.55,11649.3,12890.6,1.1052186896526002,1.0,1.4,1.3167829010552456,895278.3,80.0,1.0,5.0,1.0,19.0,573
771842,771885,3093924706.0,3093924608.0,20,6939.0,US,,66596.25,0.0,10969.45,46.2,-17978128.3,69.075,17083281.65,12465.05,13920.5,1.115269944916561,1.0,1.2,0.7942894891094066,-894846.65,80.0,1.0,5.0,1.0,19.0,573
771844,771887,3093924708.0,3093924608.0,20,6939.0,US,,66026.9,0.0,10606.05,43.6,-16187158.8,4.875,17977294.25,12011.5,13344.25,1.109518038726604,1.0,1.25,0.6330968692809724,1790135.45,80.0,1.0,5.0,1.0,19.0,573
771850,771893,3093924714.0,3093924608.0,20,6939.0,US,,66432.5,0.0,10556.25,43.95,-17082259.35,60.475,17082001.35,11956.5,14006.05,1.1662836081485592,1.0,1.25,0.5886083214266354,-258.0,80.0,1.0,5.0,1.0,19.0,573
771866,771909,3093924730.0,3093924608.0,20,6939.0,US,,66199.05,0.0,10554.9,43.8,-17978368.95,7.275,17978043.3,11932.0,13260.35,1.1099674995314603,1.0,1.35,1.024921776475242,-325.65,1200.0,1.0,5.0,1.0,19.0,573
