,Unnamed: 0,src_ip,subnet,active_days,asn,country,city,scan_length_seconds,median_time_diff,distinct_src_ports,distinct_dest_ports,q1_prev_ip,median_prev_ip,q3_prev_ip,distinct_ips,total_hits,probes_per_ip,distinct_fingerprints,distinct_payloads,avg_payload_length,q1q3_delta,top_port,top_fingerprint,generation_algorithm,top_start_hour,top_end_hour,label
120529,120534,710935260.0,710935040.0,4,135918.0,VN,,48991.5,0.0,26263.25,1.5,-16959.25,4390.5,34963.75,55706.0,124448.25,2.133250002280328,1.5,1.0,0.0,18004.5,5555.0,1.0,6.0,0.0,23.0,595
327099,327116,1732494645.0,1732494592.0,3,135918.0,VN,,42488.0,0.0,26146.666666666668,1.0,-39596.66666666666,3775.1666666666665,6029372.0,53130.333333333336,113929.33333333331,2.0409052379839503,1.0,1.0,0.0,5989775.333333333,5555.0,1.0,6.0,0.0,23.0,595
335791,335809,1739887934.0,1739887872.0,1,140803.0,VN,,53785.0,1000.0,25072.0,1.0,-17979508.0,2428.5,17981191.0,40644.0,62100.0,1.527900797165633,1.0,1.0,0.0,1683.0,5555.0,1.0,5.0,0.0,15.0,595
