,Unnamed: 0,src_ip,subnet,active_days,asn,country,city,scan_length_seconds,median_time_diff,distinct_src_ports,distinct_dest_ports,q1_prev_ip,median_prev_ip,q3_prev_ip,distinct_ips,total_hits,probes_per_ip,distinct_fingerprints,distinct_payloads,avg_payload_length,q1q3_delta,top_port,top_fingerprint,generation_algorithm,top_start_hour,top_end_hour,label
95584,95589,661247181.0,661246976.0,20,37963.0,CN,Beijing,86339.7,14950.0,3056.0,2.0,-2734418.9,0.0,2733279.95,3013.2,3701.75,1.2330013187602282,1.05,1.0,0.0,-1138.95,2222.0,11.0,5.0,0.0,23.0,24339
95598,95603,661268035.0,661267968.0,20,37963.0,CN,Beijing,86340.35,14200.0,2867.85,2.0,-38482.7,0.0,37284.55,2798.1,3574.25,1.2796931393946107,1.05,1.0,0.0,-1198.15,22.0,11.0,5.0,0.0,23.0,24339
147173,147178,796120375.0,796120320.0,20,37963.0,CN,Shenzhen,86335.25,15600.0,2900.4,2.0,-942148.95,0.0,1837877.05,2900.0,3527.6,1.216603433289715,1.05,1.0,0.0,895728.1,22.0,11.0,5.0,0.0,23.0,24339
157145,157150,837545438.0,837545216.0,20,45090.0,CN,,86314.25,11400.0,2308.1,1.0,-20439.75,0.0,20247.55,2393.6,3714.15,1.5568711853824009,1.15,1.0,0.0,-192.2,22.0,11.0,5.0,0.0,23.0,24339
