,Unnamed: 0,src_ip,subnet,active_days,asn,country,city,scan_length_seconds,median_time_diff,distinct_src_ports,distinct_dest_ports,q1_prev_ip,median_prev_ip,q3_prev_ip,distinct_ips,total_hits,probes_per_ip,distinct_fingerprints,distinct_payloads,avg_payload_length,q1q3_delta,top_port,top_fingerprint,generation_algorithm,top_start_hour,top_end_hour,label
160390,160395,915421118.0,915420928.0,1,14618.0,US,Ashburn,33.0,0.0,1.0,1.0,-9205.0,4.0,9188.0,39476.0,39476.0,1.0,2.0,1.0,0.0,-17.0,389.0,11.0,5.0,13.0,13.0,98134
160567,160572,917255679.0,917255424.0,1,14618.0,US,Ashburn,1.0,1000.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,443.0,11.0,4.0,21.0,21.0,98134
160600,160605,917457435.0,917457408.0,1,14618.0,US,Ashburn,15.0,3000.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,1.0,0.0,0.0,443.0,11.0,4.0,6.0,6.0,98134
160932,160937,919457337.0,919457280.0,1,14618.0,US,Ashburn,7.0,2000.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,443.0,11.0,4.0,6.0,6.0,98134
161067,161072,920476454.0,920476416.0,1,14618.0,US,Ashburn,17.0,2000.0,2.0,1.0,0.0,0.0,0.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,443.0,11.0,4.0,6.0,6.0,98134
