,Unnamed: 0,src_ip,subnet,active_days,asn,country,city,scan_length_seconds,median_time_diff,distinct_src_ports,distinct_dest_ports,q1_prev_ip,median_prev_ip,q3_prev_ip,distinct_ips,total_hits,probes_per_ip,distinct_fingerprints,distinct_payloads,avg_payload_length,q1q3_delta,top_port,top_fingerprint,generation_algorithm,top_start_hour,top_end_hour,label
847494,847538,3337296094.0,3337295872.0,20,396982.0,US,,85677.85,0.0,311.15,174.65,-17979452.0,-96.125,17979406.45,34338.45,51745.15,1.5118450741664098,2.45,1.0,0.0,-45.55,22.0,1.0,5.0,0.0,23.0,2933
847498,847542,3337296098.0,3337295872.0,20,396982.0,US,,85648.4,0.0,308.3,173.05,-17979630.15,-52.75,17979553.35,33674.0,51280.45,1.5256001973292102,2.15,1.0,0.0,-76.8,22.0,1.0,5.0,0.0,23.0,2933
847501,847545,3337296101.0,3337295872.0,20,396982.0,US,,85617.6,0.0,308.05,170.5,-17978925.65,-15.975,17979055.25,33853.6,51257.85,1.5155415987026142,2.15,1.0,0.0,129.6,22.0,1.0,5.0,0.0,23.0,2933
847521,847565,3337296121.0,3337295872.0,20,396982.0,US,,85618.7,0.0,307.15,171.7,-17980283.4,-88.85,17979989.35,33589.6,51212.8,1.5237886536377725,2.2,1.0,0.0,-294.05,22.0,1.0,5.0,0.0,23.0,2933
847525,847569,3337296126.0,3337295872.0,20,396982.0,US,,85646.55,0.0,310.4,174.85,-17979992.85,192.55,17979833.45,34255.2,51569.4,1.5112636738067118,2.2,1.0,0.0,-159.4,22.0,1.0,5.0,0.0,23.0,2933
