,Unnamed: 0,src_ip,subnet,active_days,asn,country,city,scan_length_seconds,median_time_diff,distinct_src_ports,distinct_dest_ports,q1_prev_ip,median_prev_ip,q3_prev_ip,distinct_ips,total_hits,probes_per_ip,distinct_fingerprints,distinct_payloads,avg_payload_length,q1q3_delta,top_port,top_fingerprint,generation_algorithm,top_start_hour,top_end_hour,label
82724,82729,623701602.0,623701504.0,8,34534.0,FR,,64730.875,0.0,28190.125,1.0,-2870.375,5635.1875,22298.0,64965.0,297234.75,4.602958049533089,1.0,1.0,0.0,19427.625,8728.0,1.0,6.0,0.0,17.0,2677
82725,82730,623701603.0,623701504.0,10,34534.0,FR,,66590.8,0.0,27914.9,1.0,-4279.8,5223.05,22656.9,62614.8,310633.5,4.962315391320193,1.0,1.0,0.0,18377.1,8728.0,1.0,6.0,0.0,23.0,2677
82726,82731,623701604.0,623701504.0,10,34534.0,FR,,66506.8,0.0,28178.8,1.0,-3617.1,5239.1,21250.9,64723.3,268785.8,4.106169377991531,1.0,1.0,0.0,17633.8,8728.0,1.0,6.0,0.0,23.0,2677
82727,82732,623701605.0,623701504.0,10,34534.0,FR,,50088.9,0.0,27670.3,1.0,-7253.1,4932.05,23592.0,60857.0,253414.4,4.093197639889011,1.0,1.0,0.0,16278.3,8728.0,1.0,6.0,0.0,23.0,2677
82728,82733,623701606.0,623701504.0,10,34534.0,FR,,67687.2,0.0,28193.3,1.0,-3061.2,5538.15,21610.5,64156.1,305688.0,4.85887264536485,1.0,1.0,0.0,18549.3,8728.0,1.0,6.0,0.0,23.0,2677
82733,82738,623701648.0,623701504.0,10,34534.0,FR,,59085.7,300.0,25859.1,1.0,-1805087.5,4108.3,1819539.7,57212.9,222075.0,3.6555393583668234,1.0,1.0,0.0,14452.2,8728.0,1.0,6.0,0.0,23.0,2677
