,Unnamed: 0,src_ip,subnet,active_days,asn,country,city,scan_length_seconds,median_time_diff,distinct_src_ports,distinct_dest_ports,q1_prev_ip,median_prev_ip,q3_prev_ip,distinct_ips,total_hits,probes_per_ip,distinct_fingerprints,distinct_payloads,avg_payload_length,q1q3_delta,top_port,top_fingerprint,generation_algorithm,top_start_hour,top_end_hour,label
565708,565740,2224310464.0,2224310272.0,20,398101.0,US,,86386.15,0.0,6.6,1.0,-15357.1,4193.275,38043.85,61939.9,266472.4,4.304209579171924,3.0,1.0,0.0,22686.75,3389.0,11.0,6.0,0.0,23.0,3372
565711,565743,2224311040.0,2224311040.0,20,398101.0,US,,83513.35,113550.0,2.7,1.0,-4018.25,1.5,4763.4,366.7,382.8,1.0548917984109722,1.0,1.0,0.0,745.15,1433.0,11.0,5.0,0.0,23.0,3372
565714,565746,2224325247.0,2224325120.0,20,398101.0,US,,80160.9,2850.0,141.2,2.0,-34.85,0.0,86.15,72.35,597.9,8.447822548322447,1.0,1.0,0.0,51.3,22.0,11.0,4.0,0.0,23.0,3372
605005,605038,2487763358.0,2487763200.0,20,400754.0,US,Ashburn,84226.15,155550.0,2.7,1.0,-4561.7,-0.725,3142.95,264.7,282.4,1.0557509840362769,1.05,1.0,0.0,-1418.75,1433.0,11.0,5.0,0.0,23.0,3372
