,Unnamed: 0,src_ip,subnet,active_days,asn,country,city,scan_length_seconds,median_time_diff,distinct_src_ports,distinct_dest_ports,q1_prev_ip,median_prev_ip,q3_prev_ip,distinct_ips,total_hits,probes_per_ip,distinct_fingerprints,distinct_payloads,avg_payload_length,q1q3_delta,top_port,top_fingerprint,generation_algorithm,top_start_hour,top_end_hour,label
228934,228942,1246900000.0,1246899968.0,20,6939.0,US,,66758.95,0.0,10650.1,43.2,-17976346.45,40.775,17082649.4,12051.8,13408.8,1.1106591016099407,1.0,1.3,0.7425626645913693,-893697.05,2101.0,1.0,5.0,1.0,19.0,582
228935,228943,1246900001.0,1246899968.0,20,6939.0,US,,66793.45,0.0,10946.8,45.7,-17080761.85,28.425,17081471.45,12457.55,13909.95,1.1144413676117058,1.0,1.25,0.671731084555094,709.6,80.0,1.0,5.0,1.0,19.0,582
228939,228947,1246900005.0,1246899968.0,20,6939.0,US,,66172.7,0.0,10838.55,45.3,-17978130.6,37.4,17977824.1,12304.7,13712.45,1.1130582217628595,1.0,1.4,0.9890390274940872,-306.5,80.0,1.0,5.0,1.0,19.0,582
228949,228957,1246900015.0,1246899968.0,20,6939.0,US,,66656.2,0.0,10379.6,43.35,-17978805.45,-86.9,17977999.45,11726.0,13003.55,1.106033243280398,1.0,1.4,1.1128934685811749,-806.0,80.0,1.0,5.0,1.0,19.0,582
228950,228958,1246900016.0,1246899968.0,20,6939.0,US,,66920.45,0.0,10813.25,44.05,-17978471.05,26.025,17978418.95,12283.25,13692.0,1.1130051231148108,1.0,1.35,1.0801057235523517,-52.1,80.0,1.0,5.0,1.0,19.0,582
228953,228961,1246900019.0,1246899968.0,20,6939.0,US,,66513.0,0.0,10528.65,43.4,-17978189.5,4.775,17977724.4,11939.3,13250.75,1.1078333657815376,1.0,1.4,1.200971495327413,-465.1,80.0,1.0,5.0,1.0,19.0,582
228955,228963,1246900021.0,1246899968.0,20,6939.0,US,,65659.9,0.0,10660.05,43.75,-17978592.5,-44.125,17978749.65,12093.3,13482.6,1.1122606957293788,1.0,1.3,1.008539329554935,157.15,80.0,1.0,5.0,1.0,19.0,582
228958,228966,1246900024.0,1246899968.0,20,6939.0,US,,66713.95,0.0,10334.45,43.95,-17082762.4,79.625,17082292.0,11652.4,12905.95,1.106271904736999,1.0,1.25,0.5378967971575864,-470.4,1200.0,1.0,5.0,1.0,19.0,582
228959,228967,1246900025.0,1246899968.0,20,6939.0,US,,66000.9,0.0,10870.0,44.9,-17977919.15,-22.0,17977808.55,12343.85,14368.0,1.1690628131955152,1.0,1.45,0.9790008891082512,-110.6,80.0,1.0,5.0,1.0,19.0,582
228960,228968,1246900026.0,1246899968.0,20,6939.0,US,,66231.6,0.0,9764.1,40.65,-17977993.5,76.175,17082894.55,10953.65,12043.65,1.0976607888531005,1.0,1.25,1.1113703396266983,-895098.95,80.0,1.0,5.0,1.0,19.0,582
228961,228969,1246900027.0,1246899968.0,20,6939.0,US,,66845.75,0.0,10535.15,43.25,-17977432.05,58.85,17081516.3,11917.2,13856.55,1.163179260800796,1.0,1.15,0.3317036457869139,-895915.75,80.0,1.0,5.0,1.0,19.0,582
