,Unnamed: 0,src_ip,subnet,active_days,asn,country,city,scan_length_seconds,median_time_diff,distinct_src_ports,distinct_dest_ports,q1_prev_ip,median_prev_ip,q3_prev_ip,distinct_ips,total_hits,probes_per_ip,distinct_fingerprints,distinct_payloads,avg_payload_length,q1q3_delta,top_port,top_fingerprint,generation_algorithm,top_start_hour,top_end_hour,label
26181,26181,57725583.0,57725440.0,1,16509.0,JP,Tokyo,7018.0,0.0,27752.0,3.0,-25221.0,2.0,25254.0,52606.0,115614.0,2.197734098772003,1.0,1.0,0.0,33.0,443.0,1.0,5.0,21.0,23.0,3181
46619,46624,225607284.0,225607168.0,1,16509.0,JP,Tokyo,7013.0,0.0,27725.0,3.0,-21757.0,3.0,21639.0,52340.0,114339.0,2.184543370271303,1.0,1.0,0.0,-118.0,443.0,1.0,5.0,21.0,23.0,3181
46766,46771,233269331.0,233269248.0,1,16509.0,JP,Tokyo,7007.0,0.0,27749.0,3.0,-17959.0,-1.5,18101.0,52618.0,114582.0,2.177619825915086,1.0,1.0,0.0,142.0,443.0,1.0,5.0,21.0,23.0,3181
52671,52676,313762497.0,313762304.0,1,16509.0,JP,Tokyo,7003.0,0.0,27699.0,3.0,-17841.0,2.5,18150.0,52391.0,113719.0,2.170582733675632,1.0,1.0,0.0,309.0,443.0,1.0,5.0,21.0,23.0,3181
52672,52677,313763605.0,313763584.0,1,16509.0,JP,Tokyo,7002.0,0.0,27737.0,3.0,-25191.0,188.0,26047.0,52318.0,113661.0,2.172502771512673,1.0,1.0,0.0,856.0,443.0,1.0,5.0,21.0,23.0,3181
52674,52679,313895447.0,313895424.0,1,16509.0,JP,Tokyo,7001.0,0.0,27682.0,3.0,-31140.0,3.0,31338.0,52354.0,113254.0,2.1632349008671734,1.0,1.0,0.0,198.0,443.0,1.0,5.0,21.0,23.0,3181
52678,52683,313931411.0,313931264.0,1,16509.0,JP,Tokyo,7006.0,0.0,27750.0,3.0,-21146.0,4.0,21500.0,52471.0,114750.0,2.186922299937108,1.0,1.0,0.0,354.0,443.0,1.0,5.0,21.0,23.0,3181
52690,52695,314036314.0,314036224.0,1,16509.0,JP,Tokyo,7021.0,0.0,27769.0,3.0,-20935.0,-97.0,21448.0,52513.0,114318.0,2.176946660826843,1.0,1.0,0.0,513.0,443.0,1.0,5.0,21.0,23.0,3181
52691,52696,314039872.0,314039808.0,1,16509.0,JP,Tokyo,6999.0,0.0,27736.0,3.0,-22407.0,57.0,22423.0,52421.0,113673.0,2.1684630205452016,1.0,1.0,0.0,16.0,443.0,1.0,5.0,21.0,23.0,3181
70944,70949,592269630.0,592269568.0,1,16509.0,JP,Tokyo,7018.0,0.0,27747.0,3.0,-20970.0,-32.5,21083.0,52491.0,114608.0,2.1833838181783545,1.0,1.0,0.0,113.0,443.0,1.0,5.0,21.0,23.0,3181
