,Unnamed: 0,src_ip,subnet,active_days,asn,country,city,scan_length_seconds,median_time_diff,distinct_src_ports,distinct_dest_ports,q1_prev_ip,median_prev_ip,q3_prev_ip,distinct_ips,total_hits,probes_per_ip,distinct_fingerprints,distinct_payloads,avg_payload_length,q1q3_delta,top_port,top_fingerprint,generation_algorithm,top_start_hour,top_end_hour,label
327098,327115,1732494386.0,1732494336.0,20,135918.0,VN,,78587.25,0.0,28035.2,1.5,-27210.4,6970.875,14384316.7,61083.15,200892.65,3.281175254129688,1.0,1.0,0.0,14357106.3,5555.0,1.0,6.0,0.0,23.0,486
327128,327145,1732600109.0,1732600064.0,20,135918.0,VN,,57460.0,0.0,26055.5,2.65,-1831033.15,3645.675,11701804.35,54801.9,148389.4,2.54873582683996,1.0,1.0,0.0,9870771.2,5555.0,1.0,6.0,0.0,23.0,486
335350,335368,1739475296.0,1739475200.0,20,140803.0,VN,Thanh Hóa,86386.15,0.0,28232.45,1.0,-12993.95,9116.85,9902334.15,61873.5,322990.45,5.230057567435955,1.0,1.0,0.0,9889340.2,5555.0,1.0,6.0,0.0,23.0,486
