,Unnamed: 0,src_ip,subnet,active_days,asn,country,city,scan_length_seconds,median_time_diff,distinct_src_ports,distinct_dest_ports,q1_prev_ip,median_prev_ip,q3_prev_ip,distinct_ips,total_hits,probes_per_ip,distinct_fingerprints,distinct_payloads,avg_payload_length,q1q3_delta,top_port,top_fingerprint,generation_algorithm,top_start_hour,top_end_hour,label
568204,568236,2256172018.0,2256171776.0,20,14061.0,US,North Bergen,84012.15,1550.0,76.55,1.0,-1205.35,0.0,981.85,76.75,153.65,2.0018398268398268,1.0,1.0,0.0,-223.5,80.0,11.0,5.0,0.0,23.0,47590
568298,568330,2261843995.0,2261843968.0,20,14061.0,US,Santa Clara,82593.05,2350.0,60.65,1.0,0.0,0.0,0.0,60.65,242.6,4.0,1.0,1.0,0.0,0.0,22.0,11.0,4.0,0.0,23.0,47590
569340,569372,2261887195.0,2261886976.0,20,14061.0,US,Clifton,86382.75,1000.0,2.15,2.15,-22702.05,2.9,23361.1,54823.15,73856.35,1.3514590827942037,2.35,1.0,0.0,659.05,1351.0,11.0,5.0,0.0,23.0,47590
569411,569443,2261888567.0,2261888512.0,20,14061.0,US,Clifton,80434.95,4000.0,53.25,2.0,0.0,0.0,0.0,26.75,292.3,10.853841325676726,1.0,1.0,0.0,0.0,2222.0,11.0,4.0,0.0,23.0,47590
570686,570718,2281705930.0,2281705728.0,20,18779.0,US,,84839.15,93850.0,2.7,1.0,-4671.3,-2.35,5157.75,470.2,474.35,1.008325776548785,1.0,1.0,0.0,486.45,1433.0,11.0,5.0,0.0,23.0,47590
570722,570754,2284144494.0,2284144384.0,20,16591.0,US,Kansas City,81239.35,2150.0,34.7,8.55,0.0,0.0,0.0,34.7,138.9,4.003038240495137,1.0,1.0,0.0,0.0,80.0,11.0,4.0,0.0,23.0,47590
572965,572997,2310595190.0,2310595072.0,20,14061.0,US,Santa Clara,82328.3,100.0,152.45,25.0,0.0,0.0,0.0,46.45,320.95,6.943791768529207,1.0,1.0,0.0,0.0,2222.0,11.0,4.0,0.0,23.0,47590
593175,593208,2403010669.0,2403010560.0,20,12083.0,US,Macomb,80049.8,216650.0,212.45,1.0,-6481.5,0.225,7431.9,210.05,224.7,1.0579084409169144,1.0,1.0,0.0,950.4,1433.0,11.0,5.0,0.0,23.0,47590
603603,603636,2475099145.0,2475099136.0,20,16276.0,US,,85070.3,0.0,3.45,5.9,-18029.35,5.9,20571.3,61933.7,156498.55,2.527794287359083,2.7,1.0,0.0,2541.95,2205.0,11.0,6.0,0.0,23.0,47590
604398,604431,2478229238.0,2478228992.0,20,14061.0,US,Santa Clara,81403.4,50.0,154.85,25.0,0.0,0.0,0.0,48.85,326.35,6.713943885776024,1.0,1.0,0.0,0.0,2222.0,11.0,4.0,0.0,23.0,47590
650230,650267,2649143603.0,2649143552.0,20,14061.0,US,North Bergen,84308.0,1000.0,6.1,5.9,-221.0,0.65,225.2,10767.95,49544.5,4.627579386208328,1.85,1.0,0.0,4.2,3233.0,11.0,5.0,0.0,23.0,47590
651448,651485,2650111082.0,2650110976.0,20,14061.0,US,Clifton,86383.0,1000.0,2.15,2.15,-23345.85,3.55,24086.85,55168.0,74398.7,1.3590364231677756,2.35,1.0,0.0,741.0,102.0,11.0,5.0,0.0,23.0,47590
651500,651537,2650113446.0,2650113280.0,20,14061.0,US,North Bergen,84509.9,1000.0,7.5,6.3,-222.0,0.5,230.55,10515.2,46787.45,4.449956744367813,1.95,1.0,0.0,8.55,589.0,11.0,5.0,0.0,23.0,47590
