,Unnamed: 0,src_ip,subnet,active_days,asn,country,city,scan_length_seconds,median_time_diff,distinct_src_ports,distinct_dest_ports,q1_prev_ip,median_prev_ip,q3_prev_ip,distinct_ips,total_hits,probes_per_ip,distinct_fingerprints,distinct_payloads,avg_payload_length,q1q3_delta,top_port,top_fingerprint,generation_algorithm,top_start_hour,top_end_hour,label
890216,890261,3703911223.0,3703911168.0,20,4837.0,CN,,81010.15,564525.0,92.25,78.1,-9912694.6,-536.025,11716488.7,92.1,92.75,1.0063141363607395,1.0,1.0,0.0,1803794.1,21.0,11.0,5.0,0.0,23.0,63062
890235,890280,3703911242.0,3703911168.0,20,4837.0,CN,,80608.9,535825.0,100.15,85.6,-12607007.35,1217.45,15300405.5,100.1,103.45,1.0549044661048568,1.05,1.0,0.0,2693398.15,443.0,11.0,5.0,0.0,23.0,63062
890244,890289,3703911251.0,3703911168.0,20,4837.0,CN,,80029.3,682000.0,90.95,77.85,-14408216.3,-334.625,13505066.8,90.75,94.25,1.058419714088501,1.0,1.0,0.0,-903149.5,80.0,11.0,5.0,0.0,23.0,63062
890286,890331,3703911293.0,3703911168.0,20,4837.0,CN,,79335.85,549125.0,102.35,87.2,-13500558.8,-100.55,11711993.5,102.35,103.0,1.0064112601230109,1.0,1.0,0.0,-1788565.3,22.0,11.0,5.0,0.0,23.0,63062
890325,890370,3703911332.0,3703911168.0,20,4837.0,CN,,80817.5,524575.0,91.8,78.05,-9914222.8,340.15,7226953.5,91.8,99.05,1.053801219619198,1.0,1.0,0.0,-2687269.3,443.0,11.0,5.0,0.0,23.0,63062
890333,890378,3703911340.0,3703911168.0,20,4837.0,CN,,79847.6,560400.0,101.6,85.95,-13504967.5,478.35,10816548.65,101.65,105.4,1.052220695970696,1.0,1.0,0.0,-2688418.85,22.0,11.0,5.0,0.0,23.0,63062
890361,890406,3703911368.0,3703911168.0,20,4837.0,CN,,81201.7,616100.0,101.8,84.5,-11708065.7,-7.6,11707772.9,101.8,102.35,1.0043050065884478,1.0,1.0,0.0,-292.8,21.0,11.0,5.0,0.0,23.0,63062
890362,890407,3703911369.0,3703911168.0,20,4837.0,CN,,80192.2,623400.0,77.5,69.1,-12607137.3,-1508.05,10812192.35,77.5,80.75,1.0543257103257102,1.0,1.0,0.0,-1794944.95,502.0,11.0,5.0,0.0,23.0,63062
890376,890421,3703911383.0,3703911168.0,20,4837.0,CN,,81840.0,430025.0,115.85,96.7,-9012614.6,943.05,9012542.25,116.05,121.0,1.0569638859419077,1.0,1.0,0.0,-72.35,80.0,11.0,5.0,0.0,23.0,63062
890392,890437,3703911399.0,3703911168.0,20,4837.0,CN,,81766.4,634100.0,101.4,86.55,-9016777.05,2191.3,13501696.15,101.3,101.7,1.0035710175971804,1.0,1.0,0.0,4484919.1,80.0,11.0,5.0,0.0,23.0,63062
890410,890455,3703911417.0,3703911168.0,20,4837.0,CN,,80097.0,617425.0,88.1,75.6,-11705323.85,-477.4,15295949.85,88.1,92.7,1.06040279792447,1.0,1.0,0.0,3590626.0,80.0,11.0,5.0,0.0,23.0,63062
890510,890555,3704254466.0,3704254464.0,20,4837.0,CN,Changsha,83192.05,507275.0,96.85,81.65,-9912586.7,-690.675,9908671.75,96.7,100.45,1.0549131468416446,1.0,1.0,0.0,-3914.95,70.0,11.0,5.0,0.0,23.0,63062
