,Unnamed: 0,src_ip,subnet,active_days,asn,country,city,scan_length_seconds,median_time_diff,distinct_src_ports,distinct_dest_ports,q1_prev_ip,median_prev_ip,q3_prev_ip,distinct_ips,total_hits,probes_per_ip,distinct_fingerprints,distinct_payloads,avg_payload_length,q1q3_delta,top_port,top_fingerprint,generation_algorithm,top_start_hour,top_end_hour,label
718037,718079,2961437830.0,2961437696.0,1,5410.0,FR,Avignon,13.0,0.0,32.0,1.0,-10.0,1.0,11.0,32.0,64.0,2.0,1.0,1.0,0.0,1.0,80.0,11.0,6.0,21.0,21.0,96541
718074,718116,2962576600.0,2962576384.0,1,5410.0,FR,Marseille,3.0,1000.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,80.0,11.0,4.0,12.0,12.0,96541
718075,718117,2962579305.0,2962579200.0,1,5410.0,FR,Marseille,3.0,1000.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,80.0,11.0,4.0,13.0,13.0,96541
718091,718133,2963270377.0,2963270144.0,1,5410.0,FR,Pessac,78.0,0.0,1.0,1.0,-15341.0,18.0,15590.0,930.0,930.0,1.0,1.0,1.0,0.0,249.0,80.0,11.0,5.0,17.0,17.0,96541
718096,718138,2963624022.0,2963623936.0,1,5410.0,FR,Nice,22.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,23.0,23.0,1.0,1.0,0.0,0.0,443.0,11.0,4.0,14.0,14.0,96541
718108,718150,2964035087.0,2964035072.0,1,5410.0,FR,,9.0,3000.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,21.0,11.0,4.0,19.0,19.0,96541
718111,718153,2964062352.0,2964062208.0,1,5410.0,FR,Pontault-Combault,484.0,2000.0,12.0,1.0,0.0,0.0,0.0,12.0,48.0,4.0,1.0,1.0,0.0,0.0,22.0,11.0,4.0,23.0,23.0,96541
718121,718163,2964364407.0,2964364288.0,1,5410.0,FR,Mévouillon,1888.0,2000.0,14.0,1.0,0.0,0.0,0.0,14.0,56.0,4.0,1.0,1.0,0.0,0.0,22.0,11.0,4.0,17.0,18.0,96541
718129,718171,2964504522.0,2964504320.0,1,5410.0,FR,Vincennes,273.0,12000.0,2.0,2.0,0.0,0.0,0.0,1.0,10.0,10.0,1.0,1.0,0.0,0.0,22.0,11.0,4.0,5.0,5.0,96541
718145,718187,2965101161.0,2965101056.0,1,5410.0,FR,Monpardiac,2077.0,2000.0,54.0,1.0,0.0,0.0,0.0,54.0,216.0,4.0,1.0,1.0,0.0,0.0,22.0,11.0,4.0,13.0,13.0,96541
718154,718196,2965327150.0,2965327104.0,1,5410.0,FR,Bruay-la-Buissiere,1030.0,0.0,1.0,1.0,-10834.0,83.0,11353.0,38043.0,38043.0,1.0,1.0,1.0,0.0,519.0,443.0,11.0,5.0,16.0,16.0,96541
