,Unnamed: 0,src_ip,subnet,active_days,asn,country,city,scan_length_seconds,median_time_diff,distinct_src_ports,distinct_dest_ports,q1_prev_ip,median_prev_ip,q3_prev_ip,distinct_ips,total_hits,probes_per_ip,distinct_fingerprints,distinct_payloads,avg_payload_length,q1q3_delta,top_port,top_fingerprint,generation_algorithm,top_start_hour,top_end_hour,label
818560,818603,3248717241.0,3248717056.0,20,211298.0,GB,,86378.0,3450.0,12720.65,2241.8,-17980157.15,33.675,17980084.7,7863.6,18104.5,2.3281427818979163,1.25,1.0,0.0,-72.45,21.0,3.0,5.0,0.0,23.0,91
818599,818642,3248717280.0,3248717056.0,20,211298.0,GB,,86374.9,3850.0,12718.85,2239.7,-17978831.95,-53.2,17979171.0,7745.0,18128.55,2.355625579375737,1.25,1.0,0.0,339.05,22.0,3.0,5.0,0.0,23.0,91
818608,818651,3248717289.0,3248717056.0,20,211298.0,GB,,86376.0,3650.0,12717.9,2240.0,-17979416.55,-38.875,17979043.65,7727.8,18087.75,2.355915184710466,1.2,1.0,0.0,-372.9,21.0,3.0,5.0,0.0,23.0,91
