,Unnamed: 0,src_ip,subnet,active_days,asn,country,city,scan_length_seconds,median_time_diff,distinct_src_ports,distinct_dest_ports,q1_prev_ip,median_prev_ip,q3_prev_ip,distinct_ips,total_hits,probes_per_ip,distinct_fingerprints,distinct_payloads,avg_payload_length,q1q3_delta,top_port,top_fingerprint,generation_algorithm,top_start_hour,top_end_hour,label
217769,217777,1077855493.0,1077855488.0,20,6939.0,US,,66349.95,0.0,10616.0,43.4,-17977656.2,27.525,17977367.4,12031.1,13376.45,1.1104958271150636,1.0,1.25,0.5319496169288556,-288.8,2455.0,1.0,5.0,1.0,19.0,590
217952,217960,1077855688.0,1077855488.0,20,6939.0,US,,66704.95,0.0,10685.85,44.6,-17978672.1,87.95,17978963.25,12112.9,13476.35,1.1110340165993593,1.0,1.3,0.7003815677440816,291.15,2222.0,1.0,5.0,1.0,19.0,590
222059,222067,1093730576.0,1093730560.0,20,6939.0,US,,66315.05,0.0,10696.25,44.95,-17080574.1,4.025,17080363.0,12154.9,13524.25,1.1111851301221694,1.0,1.2,0.7471179120060952,-211.1,2222.0,1.0,5.0,1.0,19.0,590
222160,222168,1093730677.0,1093730560.0,20,6939.0,US,,66560.3,0.0,10606.5,44.1,-17978631.55,7.4,17083641.15,11992.65,13325.1,1.1096308219325255,1.0,1.3,0.6886360709068796,-894990.4,2323.0,1.0,5.0,1.0,19.0,590
