,Unnamed: 0,src_ip,subnet,active_days,asn,country,city,scan_length_seconds,median_time_diff,distinct_src_ports,distinct_dest_ports,q1_prev_ip,median_prev_ip,q3_prev_ip,distinct_ips,total_hits,probes_per_ip,distinct_fingerprints,distinct_payloads,avg_payload_length,q1q3_delta,top_port,top_fingerprint,generation_algorithm,top_start_hour,top_end_hour,label
663128,663165,2727247184.0,2727247104.0,20,398324.0,US,,86385.6,0.0,58819.95,194.0,-17979632.05,19.85,17979662.55,57000.6,165200.35,2.8982324129806263,1.0,1.0,0.0,30.5,2096.0,11.0,5.0,0.0,23.0,45
663129,663166,2727247185.0,2727247104.0,20,398324.0,US,,86385.6,0.0,58858.45,194.0,-17979894.4,160.825,17979786.35,56999.3,165240.8,2.898624199057486,2.0,1.0,0.0,-108.05,2078.0,11.0,5.0,0.0,23.0,45
663130,663167,2727247186.0,2727247104.0,20,398324.0,US,,86385.35,0.0,58850.8,194.0,-17979396.9,66.25,17979557.75,57005.05,165069.7,2.8957643360057017,1.0,1.0,0.0,160.85,2052.0,11.0,5.0,0.0,23.0,45
663131,663168,2727247187.0,2727247104.0,20,398324.0,US,,86385.2,0.0,58850.3,194.0,-17979726.1,45.925,17980047.35,56982.45,164996.15,2.8955089853339477,1.0,1.0,0.0,321.25,3390.0,11.0,5.0,0.0,23.0,45
663135,663172,2727247191.0,2727247104.0,20,398324.0,US,,86385.8,0.0,58833.45,194.0,-17980121.15,57.975,17980045.35,57007.1,164981.95,2.8940569833756093,1.0,1.0,0.0,-75.8,2078.0,11.0,5.0,0.0,23.0,45
663136,663173,2727247192.0,2727247104.0,20,398324.0,US,,86385.9,0.0,58837.65,194.0,-17979730.9,31.2,17979804.05,56986.55,165201.25,2.898965375746319,1.0,1.0,0.0,73.15,22.0,11.0,5.0,0.0,23.0,45
663137,663174,2727247193.0,2727247104.0,20,398324.0,US,,86385.85,0.0,58832.35,194.0,-17980199.15,18.325,17980182.7,57011.1,165186.65,2.897197028010722,1.0,1.0,0.0,-16.45,995.0,11.0,5.0,0.0,23.0,45
663138,663175,2727247194.0,2727247104.0,20,398324.0,US,,86385.8,0.0,58855.35,194.0,-17979872.8,-22.45,17979637.65,57019.5,165203.05,2.89715562685922,1.0,1.0,0.0,-235.15,21.0,11.0,5.0,0.0,23.0,45
663139,663176,2727247195.0,2727247104.0,20,398324.0,US,,86385.55,0.0,58865.05,194.0,-17979504.8,-8.95,17979708.35,57001.5,165164.7,2.897163510915993,1.0,1.0,0.0,203.55,2000.0,11.0,5.0,0.0,23.0,45
663140,663177,2727247196.0,2727247104.0,20,398324.0,US,,86385.6,0.0,58841.7,194.0,-17980102.0,249.3,17980038.5,56994.75,165148.45,2.897267160602749,1.0,1.0,0.0,-63.5,2096.0,11.0,5.0,0.0,23.0,45
