,Unnamed: 0,src_ip,subnet,active_days,asn,country,city,scan_length_seconds,median_time_diff,distinct_src_ports,distinct_dest_ports,q1_prev_ip,median_prev_ip,q3_prev_ip,distinct_ips,total_hits,probes_per_ip,distinct_fingerprints,distinct_payloads,avg_payload_length,q1q3_delta,top_port,top_fingerprint,generation_algorithm,top_start_hour,top_end_hour,label
383823,383842,1882080269.0,1882080256.0,20,9808.0,CN,,82249.4,212000.0,273.7,38.15,-28821.1,-203.9,28449.2,273.75,293.65,1.052065048041039,1.05,1.0,0.0,-371.9,8080.0,10.0,5.0,0.0,23.0,54982
383836,383855,1882080282.0,1882080256.0,20,9808.0,CN,,85314.3,207100.0,291.2,42.6,-26224.2,-343.35,26268.25,290.85,294.75,1.0531751437842336,1.0,1.0,0.0,44.05,8080.0,10.0,5.0,0.0,23.0,54982
383841,383860,1882080287.0,1882080256.0,20,9808.0,CN,,83160.25,163075.0,376.75,56.55,-27775.25,-98.025,28824.35,376.75,410.4,1.0532280525751607,1.0,1.0,0.0,1049.1,8080.0,10.0,5.0,0.0,23.0,54982
383842,383861,1882080288.0,1882080256.0,20,9808.0,CN,,80883.85,203575.0,275.2,38.2,-27063.55,-96.3,27948.65,274.65,275.95,1.0040853945820276,1.0,1.0,0.0,885.1,8080.0,10.0,5.0,0.0,23.0,54982
383843,383862,1882080289.0,1882080256.0,20,9808.0,CN,,79297.55,176900.0,307.25,44.9,-26629.25,-624.9,27839.8,306.6,329.8,1.0543229770441918,1.0,1.0,0.0,1210.55,8080.0,10.0,5.0,0.0,23.0,54982
383844,383863,1882080290.0,1882080256.0,20,9808.0,CN,,79989.65,240825.0,240.35,35.75,-29153.4,-351.55,27488.15,240.0,240.8,1.002831314044554,1.0,1.0,0.0,-1665.25,8080.0,10.0,5.0,0.0,23.0,54982
383850,383869,1882080296.0,1882080256.0,20,9808.0,CN,,81139.1,223775.0,244.5,34.6,-26522.9,334.05,26091.95,243.65,245.4,1.028741872759523,1.05,1.0,0.0,-430.95,8080.0,10.0,5.0,0.0,23.0,54982
383851,383870,1882080297.0,1882080256.0,20,9808.0,CN,,77693.85,232800.0,239.45,36.3,-25598.5,-137.125,26263.55,239.45,271.1,1.053084510583388,1.0,1.0,0.0,665.05,8080.0,10.0,5.0,0.0,23.0,54982
383852,383871,1882080298.0,1882080256.0,20,9808.0,CN,,75572.7,262950.0,276.8,39.35,-26176.65,684.825,927073.8,276.5,303.35,1.053600845620054,1.05,1.0,0.0,900897.15,8080.0,10.0,5.0,0.0,23.0,54982
383853,383872,1882080299.0,1882080256.0,20,9808.0,CN,,84077.55,201225.0,292.1,41.45,-27555.95,-23.225,28131.65,292.35,312.5,1.0520970775935434,1.0,1.0,0.0,575.7,8080.0,10.0,5.0,0.0,23.0,54982
383854,383873,1882080300.0,1882080256.0,20,9808.0,CN,,76722.25,229400.0,265.6,39.25,-27492.1,762.025,26900.75,265.3,276.25,1.0543667618021413,1.0,1.0,0.0,-591.35,8080.0,10.0,5.0,0.0,23.0,54982
383855,383874,1882080301.0,1882080256.0,20,9808.0,CN,,79577.9,230500.0,242.0,34.0,-26693.7,30.0,27350.75,242.1,242.7,1.001795290866791,1.0,1.0,0.0,657.05,8080.0,10.0,5.0,0.0,23.0,54982
383857,383876,1882080303.0,1882080256.0,20,9808.0,CN,,84129.35,162825.0,373.25,50.8,-25795.8,-32.575,26003.45,373.0,403.0,1.054201901292202,1.0,1.0,0.0,207.65,8080.0,10.0,5.0,0.0,23.0,54982
383858,383877,1882080304.0,1882080256.0,20,9808.0,CN,,85739.35,182225.0,350.55,51.65,-26021.25,-342.1,26311.95,350.35,367.5,1.052507197937843,1.0,1.0,0.0,290.7,8080.0,10.0,5.0,0.0,23.0,54982
