,Unnamed: 0,src_ip,subnet,active_days,asn,country,city,scan_length_seconds,median_time_diff,distinct_src_ports,distinct_dest_ports,q1_prev_ip,median_prev_ip,q3_prev_ip,distinct_ips,total_hits,probes_per_ip,distinct_fingerprints,distinct_payloads,avg_payload_length,q1q3_delta,top_port,top_fingerprint,generation_algorithm,top_start_hour,top_end_hour,label
683054,683092,2860694274.0,2860694272.0,6,62904.0,US,Los Angeles,62072.16666666666,500.0,115.83333333333331,7103.833333333333,-11907.166666666666,0.0,11907.166666666666,22.0,20302.83333333333,1282.252380952381,1.3333333333333333,1.0,0.0,0.0,18089.0,11.0,5.0,0.0,23.0,88
683056,683094,2860694282.0,2860694272.0,6,62904.0,US,Los Angeles,61828.0,500.0,115.16666666666669,7068.166666666667,-13402.5,0.0,14656.0,22.5,21162.666666666668,1232.394439679817,1.5,1.0,0.0,1253.5,11924.0,11.0,5.0,0.0,23.0,88
683057,683095,2860694286.0,2860694272.0,6,62904.0,US,Los Angeles,62052.833333333336,500.0,118.66666666666669,7203.0,-13442.0,0.0,14695.5,22.5,22852.83333333333,1438.836192109777,1.1666666666666667,1.0,0.0,1253.5,11860.0,11.0,5.0,0.0,23.0,88
683058,683096,2860694290.0,2860694272.0,6,62904.0,US,Los Angeles,62165.833333333336,500.0,118.16666666666669,7190.833333333333,-13442.0,0.0,13442.0,22.5,21323.0,1321.051641754472,1.5,1.0,0.0,0.0,15943.0,11.0,5.0,0.0,23.0,88
683066,683104,2860694322.0,2860694272.0,6,62904.0,US,Los Angeles,61142.333333333336,500.0,117.0,7174.0,-12022.333333333334,0.0,12051.166666666666,22.5,20405.666666666668,1172.9802948623703,1.5,1.0,0.0,28.83333333333333,17604.0,11.0,5.0,0.0,23.0,88
683067,683105,2860694326.0,2860694272.0,6,62904.0,US,Los Angeles,62103.0,500.0,117.5,7200.333333333333,-12564.166666666666,0.0,12564.166666666666,22.5,22115.666666666668,1395.845483133219,1.3333333333333333,1.0,0.0,0.0,14354.0,11.0,5.0,0.0,23.0,88
