,Unnamed: 0,src_ip,subnet,active_days,asn,country,city,scan_length_seconds,median_time_diff,distinct_src_ports,distinct_dest_ports,q1_prev_ip,median_prev_ip,q3_prev_ip,distinct_ips,total_hits,probes_per_ip,distinct_fingerprints,distinct_payloads,avg_payload_length,q1q3_delta,top_port,top_fingerprint,generation_algorithm,top_start_hour,top_end_hour,label
326707,326724,1731739010.0,1731738880.0,20,4837.0,CN,,74599.15,0.0,28227.25,20.75,-10843.05,0.575,10852.5,61336.65,329709.4,5.357301125643799,1.0,1.0,0.0,9.45,510.0,11.0,2.0,1.0,23.0,126
326708,326725,1731739012.0,1731738880.0,11,4837.0,CN,,75714.81818181818,0.0,28217.090909090908,18.0,-10760.272727272728,-0.3636363636363636,10757.727272727272,62137.27272727273,286834.9090909091,4.610881413721847,1.0,1.0,0.0,-2.5454545454545454,514.0,11.0,5.0,0.0,23.0,126
326709,326726,1731739024.0,1731738880.0,20,4837.0,CN,,75058.9,0.0,28175.85,21.25,-10648.5,0.6,10640.6,61207.0,321308.9,5.238631968160791,1.0,1.0,0.0,-7.9,2375.0,11.0,5.0,0.0,23.0,126
482020,482040,1987799381.0,1987799296.0,20,38283.0,CN,,76247.35,0.0,28232.4,24.05,-9942.15,-0.15,9954.35,62180.75,437592.0,7.024205231327737,1.0,1.0,0.0,12.2,38.0,11.0,5.0,0.0,23.0,126
482022,482042,1987799389.0,1987799296.0,20,38283.0,CN,,75155.55,0.0,28232.95,27.85,-9988.0,0.025,9982.65,61661.5,516629.85,8.371054305122781,1.0,1.0,0.0,-5.35,21.0,11.0,5.0,0.0,23.0,126
902311,902356,3736735108.0,3736734976.0,20,4134.0,CN,,74136.45,0.0,28098.5,18.95,-10646.45,1.0,10656.3,59240.85,285531.45,4.761866252239901,1.0,1.0,0.0,9.85,5656.0,11.0,2.0,0.0,23.0,126
902312,902357,3736735109.0,3736734976.0,20,4134.0,CN,,71810.4,0.0,28228.6,19.7,-10657.4,0.65,10647.2,61602.4,320494.75,5.199876875352589,1.0,1.0,0.0,-10.2,1.0,11.0,5.0,0.0,22.0,126
