,Unnamed: 0,src_ip,subnet,active_days,asn,country,city,scan_length_seconds,median_time_diff,distinct_src_ports,distinct_dest_ports,q1_prev_ip,median_prev_ip,q3_prev_ip,distinct_ips,total_hits,probes_per_ip,distinct_fingerprints,distinct_payloads,avg_payload_length,q1q3_delta,top_port,top_fingerprint,generation_algorithm,top_start_hour,top_end_hour,label
135482,135487,772302337.0,772302336.0,7,16509.0,HK,Hong Kong,34995.57142857143,3285.714285714286,338.1428571428572,3.0,-12860553.0,-536.9285714285714,12862342.142857144,340.57142857142856,341.2857142857143,1.0017455075117798,1.0,1.0,0.0,1789.142857142857,22.0,1.0,5.0,0.0,23.0,16504
135573,135578,772302428.0,772302336.0,7,16509.0,HK,Hong Kong,35001.0,3428.5714285714284,333.42857142857144,3.0,-12855549.285714284,7.214285714285714,12858453.714285716,335.1428571428572,336.42857142857144,1.0028918199727297,1.0,1.0,0.0,2904.428571428572,22.0,1.0,5.0,0.0,23.0,16504
135644,135649,772302499.0,772302336.0,7,16509.0,HK,Hong Kong,34998.28571428572,3571.428571428572,334.1428571428572,3.0,-12859318.142857144,132.0,12867757.0,335.85714285714283,336.1428571428572,1.0008503401360545,1.0,1.0,0.0,8438.857142857143,22.0,1.0,5.0,0.0,23.0,16504
135713,135718,772302568.0,772302336.0,7,16509.0,HK,Hong Kong,34991.57142857143,3714.285714285714,326.85714285714283,3.0,-12861795.285714284,-1528.857142857143,12857594.714285716,327.85714285714283,329.1428571428572,1.003003518143959,1.0,1.0,0.0,-4200.571428571428,22.0,1.0,5.0,0.0,23.0,16504
135714,135719,772302569.0,772302336.0,7,16509.0,HK,Hong Kong,35002.57142857143,3428.5714285714284,335.42857142857144,3.0,-12859389.57142857,-728.5,12858499.42857143,336.7142857142857,337.7142857142857,1.0029069563898374,1.0,1.0,0.0,-890.1428571428571,22.0,1.0,5.0,0.0,23.0,16504
135741,135746,772302596.0,772302592.0,7,16509.0,HK,Hong Kong,34995.42857142857,3142.8571428571427,336.42857142857144,3.0,-12858643.0,-108.92857142857144,12854575.285714284,336.7142857142857,338.2857142857143,1.0040692248786829,1.0,1.0,0.0,-4067.714285714286,22.0,1.0,5.0,0.0,23.0,16504
135745,135750,772302600.0,772302592.0,7,16509.0,HK,Hong Kong,34987.57142857143,3428.5714285714284,338.1428571428572,3.0,-12856795.285714284,-309.2142857142857,12857289.285714284,339.2857142857143,341.0,1.0038739178924867,1.0,1.0,0.0,494.0,22.0,1.0,5.0,0.0,23.0,16504
135758,135763,772302613.0,772302592.0,7,16509.0,HK,Hong Kong,34993.857142857145,3571.428571428572,325.1428571428572,3.0,-12860282.0,-395.0,12862760.42857143,325.42857142857144,327.1428571428572,1.0039265285491212,1.0,1.0,0.0,2478.428571428572,22.0,1.0,5.0,0.0,23.0,16504
135791,135796,772302646.0,772302592.0,7,16509.0,HK,Hong Kong,34988.42857142857,3285.714285714286,335.85714285714283,3.0,-12856011.285714284,-781.4285714285714,12857294.285714284,339.0,339.57142857142856,1.00116854321066,1.0,1.0,0.0,1283.0,22.0,1.0,5.0,0.0,23.0,16504
135802,135807,772302657.0,772302592.0,7,16509.0,HK,Hong Kong,34989.57142857143,3500.0,328.1428571428572,3.0,-12865971.142857144,642.0714285714286,12861429.0,329.2857142857143,330.7142857142857,1.0035761252842117,1.0,1.0,0.0,-4542.142857142857,22.0,1.0,5.0,0.0,23.0,16504
135812,135817,772302667.0,772302592.0,7,16509.0,HK,Hong Kong,34992.142857142855,3571.428571428572,331.1428571428572,3.0,-12858227.714285716,-756.4285714285714,12857869.0,333.2857142857143,334.42857142857144,1.002815987817114,1.0,1.0,0.0,-358.7142857142857,22.0,1.0,5.0,0.0,23.0,16504
135813,135818,772302668.0,772302592.0,7,16509.0,HK,Hong Kong,34999.0,3571.428571428572,333.85714285714283,3.0,-12861111.714285716,73.0,12865072.714285716,334.85714285714283,336.42857142857144,1.0032404676490738,1.0,1.0,0.0,3961.0,22.0,1.0,5.0,0.0,23.0,16504
135819,135824,772302674.0,772302592.0,7,16509.0,HK,Hong Kong,34987.71428571428,3214.285714285714,339.85714285714283,3.0,-12867788.42857143,608.2142857142857,12854127.714285716,341.42857142857144,342.85714285714283,1.0027607979751243,1.0,1.0,0.0,-13660.714285714286,22.0,1.0,5.0,0.0,23.0,16504
135836,135841,772302691.0,772302592.0,7,16509.0,HK,Hong Kong,34994.71428571428,3571.428571428572,325.85714285714283,3.0,-12859651.42857143,235.0,12859565.142857144,327.42857142857144,328.2857142857143,1.002621682740406,1.0,1.0,0.0,-86.28571428571429,22.0,1.0,5.0,0.0,23.0,16504
135898,135903,772302753.0,772302592.0,7,16509.0,HK,Hong Kong,34996.142857142855,3142.8571428571427,323.85714285714283,3.0,-12865482.142857144,-383.8571428571428,12860389.142857144,324.42857142857144,326.2857142857143,1.0042394911181365,1.0,1.0,0.0,-5093.0,22.0,1.0,5.0,0.0,23.0,16504
135985,135990,772302840.0,772302592.0,7,16509.0,HK,Hong Kong,34999.857142857145,3428.5714285714284,335.2857142857143,3.142857142857143,-12857214.285714284,-164.71428571428572,12859666.857142856,336.7142857142857,338.1428571428572,1.0035397945233542,1.0,1.0,0.0,2452.5714285714284,22.0,1.0,5.0,0.0,23.0,16504
