,Unnamed: 0,src_ip,subnet,active_days,asn,country,city,scan_length_seconds,median_time_diff,distinct_src_ports,distinct_dest_ports,q1_prev_ip,median_prev_ip,q3_prev_ip,distinct_ips,total_hits,probes_per_ip,distinct_fingerprints,distinct_payloads,avg_payload_length,q1q3_delta,top_port,top_fingerprint,generation_algorithm,top_start_hour,top_end_hour,label
280213,280228,1532817732.0,1532817664.0,1,394711.0,BG,,35816.0,0.0,25113.0,2.0,-17964887.0,123.0,17968885.0,54859.0,61994.0,1.130060701070016,1.0,1.0,0.0,3998.0,81.0,1.0,5.0,11.0,21.0,205
280236,280251,1532818922.0,1532818688.0,1,394711.0,BG,,42069.0,1000.0,24988.0,1.0,-17964879.0,181.0,17962456.0,60433.0,60442.0,1.000148925256069,1.0,1.0,0.0,-2423.0,10443.0,1.0,5.0,7.0,19.0,205
280253,280268,1532819717.0,1532819712.0,4,394711.0,BG,,46714.0,0.0,25965.75,1.0,-26640.25,2967.0,48726.5,61962.75,77439.25,1.2497597767642374,1.0,1.0,0.0,22086.25,3128.0,1.0,6.0,0.0,23.0,205
297438,297454,1587299088.0,1587299072.0,1,394711.0,BG,,12856.0,0.0,25073.0,1.0,-40930.0,-247.0,41627.0,61966.0,61966.0,1.0,1.0,1.0,0.0,697.0,8080.0,1.0,5.0,16.0,20.0,205
297444,297460,1587299486.0,1587299328.0,2,394711.0,BG,,65071.0,0.0,25100.0,1.0,-9011752.5,2849.0,17981523.5,41637.5,75854.5,1.7479618330451665,1.0,1.0,0.0,8969771.0,8088.0,1.0,5.0,0.0,12.0,205
