,Unnamed: 0,src_ip,subnet,active_days,asn,country,city,scan_length_seconds,median_time_diff,distinct_src_ports,distinct_dest_ports,q1_prev_ip,median_prev_ip,q3_prev_ip,distinct_ips,total_hits,probes_per_ip,distinct_fingerprints,distinct_payloads,avg_payload_length,q1q3_delta,top_port,top_fingerprint,generation_algorithm,top_start_hour,top_end_hour,label
297401,297417,1587298430.0,1587298304.0,20,394711.0,BG,,86383.1,1000.0,3.5,17.15,-15113.5,-64.275,15128.7,29343.65,54335.95,1.8516904478710303,2.1,1.0,0.0,15.2,4145.0,11.0,5.0,0.0,23.0,3318
297422,297438,1587298898.0,1587298816.0,20,394711.0,BG,,86290.35,1100.0,2.2,16.5,-15138.75,30.275,15100.85,30479.25,59321.7,1.936943333902421,2.15,1.0,0.0,-37.9,3128.0,11.0,5.0,0.0,23.0,3318
297423,297439,1587298899.0,1587298816.0,20,394711.0,BG,,86383.85,1000.0,2.4,16.5,-15108.7,0.9,15118.65,31014.25,60935.95,1.9645962195607976,1.95,1.0,0.0,9.95,4145.0,11.0,5.0,0.0,23.0,3318
297426,297442,1587298908.0,1587298816.0,20,394711.0,BG,,86383.35,1000.0,2.4,16.5,-15092.9,20.4,15114.9,30873.95,60529.05,1.9586091918592032,2.0,1.0,0.0,22.0,4145.0,11.0,5.0,0.0,23.0,3318
297522,297538,1587300319.0,1587300096.0,20,394711.0,BG,,86384.3,1000.0,2.3,16.5,-15155.5,10.55,15135.25,30397.45,58515.85,1.9204310078002895,2.05,1.0,0.0,-20.25,4145.0,11.0,5.0,0.0,23.0,3318
297526,297542,1587300328.0,1587300096.0,20,394711.0,BG,,86383.25,1050.0,2.4,17.7,-15117.05,49.05,15097.3,30364.3,58561.4,1.9237836373264348,2.1,1.0,0.0,-19.75,4145.0,11.0,5.0,0.0,23.0,3318
297527,297543,1587300329.0,1587300096.0,20,394711.0,BG,,83818.6,1000.0,3.8,16.75,-15125.6,-17.65,15143.85,27425.05,47938.55,1.7417722595721703,1.85,1.0,0.0,18.25,4145.0,11.0,5.0,0.0,23.0,3318
