,Unnamed: 0,src_ip,subnet,active_days,asn,country,city,scan_length_seconds,median_time_diff,distinct_src_ports,distinct_dest_ports,q1_prev_ip,median_prev_ip,q3_prev_ip,distinct_ips,total_hits,probes_per_ip,distinct_fingerprints,distinct_payloads,avg_payload_length,q1q3_delta,top_port,top_fingerprint,generation_algorithm,top_start_hour,top_end_hour,label
847491,847535,3337296091.0,3337295872.0,20,396982.0,US,,85661.1,0.0,307.45,171.3,-17979117.3,45.55,17979144.7,33833.6,51366.65,1.524428865772998,2.05,1.0,0.0,27.4,22.0,1.0,5.0,0.0,23.0,2933
847493,847537,3337296093.0,3337295872.0,20,396982.0,US,,85623.6,0.0,309.1,172.65,-17979816.05,37.275,17979974.05,33788.9,51291.65,1.5258817068524506,2.15,1.0,0.0,158.0,22.0,1.0,5.0,0.0,23.0,2933
847497,847541,3337296097.0,3337295872.0,20,396982.0,US,,85626.2,0.0,308.3,170.45,-17979333.5,-145.375,17979358.15,33790.75,51154.5,1.516863031170633,2.15,1.0,0.0,24.65,22.0,1.0,5.0,0.0,23.0,2933
847499,847543,3337296099.0,3337295872.0,20,396982.0,US,,85624.6,0.0,309.75,171.55,-17979643.95,-34.2,17979215.25,33847.95,51468.65,1.521959708415086,2.15,1.0,0.0,-428.7,22.0,1.0,5.0,0.0,23.0,2933
847503,847547,3337296103.0,3337295872.0,20,396982.0,US,,85633.2,0.0,309.7,173.5,-17979961.95,20.4,17980024.75,34303.75,51935.85,1.517601112129061,2.15,1.0,0.0,62.8,22.0,1.0,5.0,0.0,23.0,2933
847505,847549,3337296105.0,3337295872.0,20,396982.0,US,,85695.7,0.0,306.4,171.05,-17979406.95,-69.9,17979487.5,33798.2,51270.5,1.518980589593908,2.2,1.0,0.0,80.55,22.0,1.0,5.0,0.0,23.0,2933
847511,847555,3337296111.0,3337295872.0,20,396982.0,US,,85623.6,0.0,306.5,172.8,-17979599.25,-17.275,17979389.65,33491.25,51039.0,1.5256430734161708,2.25,1.0,0.0,-209.6,22.0,1.0,5.0,0.0,23.0,2933
847516,847560,3337296116.0,3337295872.0,20,396982.0,US,,85609.35,0.0,306.35,173.25,-17978787.15,36.425,17978983.3,33985.95,51089.0,1.5062635072653765,2.25,1.0,0.0,196.15,22.0,1.0,5.0,0.0,23.0,2933
847519,847563,3337296119.0,3337295872.0,20,396982.0,US,,85573.15,0.0,305.0,170.9,-17979521.65,-139.1,17979425.35,33836.25,50409.05,1.501267030998999,2.1,1.0,0.0,-96.3,22.0,1.0,5.0,0.0,23.0,2933
847520,847564,3337296120.0,3337295872.0,20,396982.0,US,,85634.75,0.0,309.6,172.6,-17979264.05,55.825,17979252.05,33897.55,51445.45,1.5223810219501748,2.15,1.0,0.0,-12.0,22.0,1.0,5.0,0.0,23.0,2933
