,Unnamed: 0,src_ip,subnet,active_days,asn,country,city,scan_length_seconds,median_time_diff,distinct_src_ports,distinct_dest_ports,q1_prev_ip,median_prev_ip,q3_prev_ip,distinct_ips,total_hits,probes_per_ip,distinct_fingerprints,distinct_payloads,avg_payload_length,q1q3_delta,top_port,top_fingerprint,generation_algorithm,top_start_hour,top_end_hour,label
98413,98418,664309093.0,664308992.0,20,56044.0,CN,Dalian,86289.3,0.0,14802.75,5.0,0.0,0.0,0.0,3294.3,17640.95,5.362375240394528,1.3,1.0,0.0,0.0,2222.0,8.0,4.0,0.0,23.0,221
426341,426361,1955482753.0,1955482624.0,20,4837.0,CN,Guangzhou,86267.2,0.0,13133.75,5.0,0.0,0.0,0.0,2869.35,15387.5,5.371987235784578,1.3,1.0,0.0,0.0,22.0,8.0,4.0,0.0,23.0,221
497721,497741,2016889032.0,2016888832.0,20,37963.0,CN,Hangzhou,86351.6,0.0,14147.85,5.0,0.0,0.0,0.0,5735.1,16768.7,2.9246348378638807,1.35,1.0,0.0,0.0,22.0,8.0,4.0,0.0,23.0,221
