,Unnamed: 0,src_ip,subnet,active_days,asn,country,city,scan_length_seconds,median_time_diff,distinct_src_ports,distinct_dest_ports,q1_prev_ip,median_prev_ip,q3_prev_ip,distinct_ips,total_hits,probes_per_ip,distinct_fingerprints,distinct_payloads,avg_payload_length,q1q3_delta,top_port,top_fingerprint,generation_algorithm,top_start_hour,top_end_hour,label
777704,777747,3112953022.0,3112952832.0,20,36007.0,SE,Stockholm,84832.55,1000.0,26634.6,27.35,-17978890.75,79.3,17979298.45,44918.3,86740.2,1.935628581424254,1.0,1.0,0.0,407.7,8006.0,1.0,5.0,0.0,23.0,933
778431,778474,3114754186.0,3114754048.0,20,41436.0,NL,Amsterdam,85843.25,800.0,26765.75,24.9,-17979096.15,-68.75,17978951.5,45535.95,90214.65,1.9883158548359676,1.0,1.0,0.0,-144.65,6443.0,1.0,5.0,0.0,23.0,933
778432,778475,3114754194.0,3114754048.0,20,41436.0,NL,Amsterdam,85809.85,900.0,26759.95,29.1,-17979775.35,-3.575,17979409.75,46185.0,90736.35,1.9541506732490883,1.0,1.0,0.0,-365.6,6443.0,1.0,5.0,0.0,23.0,933
778433,778476,3114754198.0,3114754048.0,20,41436.0,NL,Amsterdam,86159.8,800.0,26752.0,27.6,-17979716.35,-49.025,17979688.7,45691.3,90397.15,1.9846998459683909,1.0,1.0,0.0,-27.65,4445.0,1.0,5.0,0.0,23.0,933
778434,778477,3114754533.0,3114754304.0,20,41436.0,NL,Amsterdam,85486.25,850.0,26787.05,27.5,-17979434.7,150.075,17979435.3,45187.7,90333.45,2.0080255381867174,1.0,1.0,0.0,0.6,4445.0,1.0,5.0,0.0,23.0,933
778435,778478,3114754548.0,3114754304.0,20,41436.0,NL,Amsterdam,85728.6,925.0,26659.2,25.2,-17979656.2,-126.475,17979750.15,44215.45,86654.65,1.9700990905125133,1.0,1.0,0.0,93.95,8006.0,1.0,5.0,0.0,23.0,933
