,group,distinct_hit_ips,overlaps,avg_overlap_times,avg_dest_ports
242,17100,126287,0.0,0.0,14.678571428571427
510,33904,115068,0.0,0.0,63669.585
562,34305,114999,0.0,0.0,194.00384615384615
507,33901,114370,0.0,0.0,58873.929999999986
574,34337,112887,0.0,0.0,194.0
252,17145,109479,0.0,0.0,1.0
508,33902,104427,0.0,0.0,60272.87999999999
570,34333,104282,0.0,0.0,58773.44545454546
572,34335,103580,0.0,0.0,58654.41818181818
94,7121,102749,0.0,0.0,5468.035
556,34298,102721,0.0,0.0,59418.01000000001
567,34315,99537,0.0,0.0,50828.46071428571
93,7118,98890,0.0,0.0,5468.914705882352
560,34303,96118,0.0,0.0,194.0
694,42232,93934,0.0,0.0,1.5
734,42272,93641,0.0,0.0,1.3125
273,19413,92154,0.0,0.0,87.0
566,34314,91290,0.0,0.0,50953.31
557,34299,86198,0.0,0.0,59413.240000000005
573,34336,81180,0.0,0.0,58658.100000000006
347,25969,80713,0.0,0.0,25.950000000000003
100,7144,80441,0.0,0.0,5471.271428571429
89,7111,80255,0.0,0.0,5470.007142857142
91,7115,80202,0.0,0.0,5275.9875
121,7445,79771,0.0,0.0,1.5
561,34304,79767,0.0,0.0,194.0
435,30429,79397,0.0,0.0,3.0
509,33903,78810,0.0,0.0,60275.51666666666
538,33944,78495,0.0,0.0,1.2222222222222223
90,7113,78099,0.0,0.0,5471.2
571,34334,77192,0.0,0.0,58764.18333333333
564,34307,76509,0.0,0.0,194.0
300,20024,76479,0.0,0.0,17.146666666666665
98,7133,75845,0.0,0.0,5469.9800000000005
97,7132,75787,0.0,0.0,5473.480000000001
558,34301,74901,0.0,0.0,194.0
506,33900,73565,0.0,0.0,194.0
744,42287,73457,0.0,0.0,9.38888888888889
503,33895,73454,0.0,0.0,5468.4375
95,7126,73317,0.0,0.0,5474.3625
107,7295,72871,0.0,0.0,21.87
743,42286,71331,0.0,0.0,9.38888888888889
559,34302,71173,0.0,0.0,194.0
514,33916,70803,0.0,0.0,267.9166666666667
101,7145,70694,0.0,0.0,5460.95
215,13634,69882,0.0,0.0,36.199999999999996
466,33388,69705,0.0,0.0,22.66388888888889
65,4183,69691,0.0,0.0,262.76721311475404
752,42428,69640,0.0,0.0,62.166666666666664
511,33913,69477,0.0,0.0,315.0658025922233
66,4184,69420,0.0,0.0,308.4747162022704
751,42427,69138,0.0,0.0,10.0
408,29865,68773,0.0,0.0,1.9500000000000002
469,33402,68569,0.0,0.0,21.81041666666667
387,29456,68255,0.0,0.0,21.714583333333334
196,12397,68209,0.0,0.0,1.6818181818181819
504,33896,68179,0.0,0.0,5469.55
99,7136,68166,0.0,0.0,5474.775
102,7153,68115,0.0,0.0,5471.05
96,7131,68051,0.0,0.0,5474.85
148,8547,68050,0.0,0.0,5472.95
795,44703,67969,0.0,0.0,103.2125
205,12685,67548,0.0,0.0,32.0
786,44047,67363,0.0,0.0,104.1
776,44031,66913,0.0,0.0,1.5
197,12398,66704,0.0,0.0,14.199468791500664
339,23681,66468,0.0,0.0,7.478571428571428
245,17138,66453,0.0,0.0,1.0
272,19246,66349,0.0,0.0,2.2
26,4007,66329,0.0,0.0,1.0
675,42213,66317,0.0,0.0,1.4761904761904763
760,42681,66248,0.0,0.0,5.3999999999999995
650,40213,66072,0.0,0.0,1.0
696,42234,66034,0.0,0.0,1.40625
684,42222,65778,0.0,0.0,1.375
707,42245,65778,0.0,0.0,1.2916666666666667
708,42246,65778,0.0,0.0,1.2222222222222223
731,42269,65778,0.0,0.0,1.3181818181818181
485,33498,65670,0.0,0.0,4.225
248,17141,65658,0.0,0.0,1.0
411,29908,65628,0.0,0.0,21.673076923076923
109,7299,65546,0.0,0.0,22.974418604651166
36,4045,65446,0.0,0.0,1.0
