,group,distinct_hit_ips,overlaps,avg_overlap_times,avg_dest_ports
95,39,167822,0.0,0.0,12.007496425143485
227,0,126778,0.0,0.0,50891.3671875
216,1,121488,0.0,0.0,63668.645833333336
215,2,119819,0.0,0.0,60273.621875
42,10,118086,0.0,0.0,5471.625
223,3,117824,0.0,0.0,59415.193750000006
44,6,115168,0.0,0.0,5468.937931034482
225,11,114999,0.0,0.0,194.00384615384615
229,13,112887,0.0,0.0,194.0
224,7,109538,0.0,0.0,194.0
45,9,105569,0.0,0.0,5468.309090909091
43,5,87073,0.0,0.0,5275.441666666667
46,1489,72871,0.0,0.0,21.87
220,30,70825,0.0,0.0,267.9046875
197,1593,69735,0.0,0.0,22.72123287671233
24,67,69699,0.0,0.0,1.0
35,26,69691,0.0,0.0,262.76721311475404
36,21,69503,0.0,0.0,308.4813725490196
217,28,69477,0.0,0.0,315.0658025922233
73,356,69358,0.0,0.0,4.3076923076923075
200,1589,68929,0.0,0.0,21.798000000000002
189,279,68684,0.0,0.0,172.27407407407406
173,1482,68613,0.0,0.0,22.05862068965518
159,1588,68255,0.0,0.0,21.714583333333334
184,45,67972,0.0,0.0,2.8924731182795695
28,68,67873,0.0,0.0,1.0
269,778,67557,0.0,0.0,215.49117647058824
71,1579,67144,0.0,0.0,22.417142857142856
128,389,66853,0.0,0.0,8.052019960715615
16,1228,66769,0.0,0.0,212.36199999999997
17,1486,66687,0.0,0.0,22.692857142857143
32,65,66645,0.0,0.0,1.1466666666666667
258,47,66465,0.0,0.0,1.0178571428571428
190,278,66154,0.0,0.0,168.6428571428571
268,1581,66094,0.0,0.0,22.578260869565216
234,1484,65814,0.0,0.0,22.73
48,1487,65546,0.0,0.0,22.974418604651166
126,388,65500,0.0,0.0,8.52836998859726
117,1348,65481,0.0,0.0,14.023463263421712
12,2013,65391,0.0,0.0,1.3333333333333333
196,1587,65285,0.0,0.0,22.71964285714285
139,484,65257,0.0,0.0,21.944489795918365
182,1668,65052,0.0,0.0,23.7921875
20,1229,64960,0.0,0.0,239.14499999999998
188,277,64915,0.0,0.0,172.75
228,1671,64603,0.0,0.0,24.7
38,287,64538,0.0,0.0,1.3333333333333333
235,1483,63880,0.0,0.0,22.94166666666667
78,1488,63715,0.0,0.0,22.876470588235293
115,355,63570,0.0,0.0,4.353658536585366
119,349,63538,0.0,0.0,14.066666666666666
91,348,63509,0.0,0.0,14.066666666666666
185,272,63498,0.0,0.0,14.066666666666666
5,285,63453,0.0,0.0,14.066666666666666
160,1586,63356,0.0,0.0,23.04
18,1485,63312,0.0,0.0,23.013533834586468
166,1681,63260,0.0,0.0,2.467391304347826
19,43,62946,0.0,0.0,1.0
80,1289,62895,0.0,0.0,14.199999999999996
137,2082,62796,0.0,0.0,2.097142857142857
83,1296,62776,0.0,0.0,14.197435897435895
212,508,62738,0.0,0.0,1.0909090909090908
82,1293,62716,0.0,0.0,14.199999999999996
81,1292,62690,0.0,0.0,14.199999999999998
104,169,62690,0.0,0.0,1.3888888888888888
84,1288,62604,0.0,0.0,14.199999999999998
183,46,62572,0.0,0.0,1.0
85,1294,62539,0.0,0.0,14.199999999999998
222,2012,62306,0.0,0.0,1.103448275862069
248,44,62298,0.0,0.0,1.0238095238095237
13,1878,62242,0.0,0.0,1.0
90,265,62242,0.0,0.0,1.0
121,2014,62226,0.0,0.0,1.2028985507246377
100,2015,62102,0.0,0.0,1.9090909090909092
7,2025,61992,0.0,0.0,22.97142857142858
118,1052,61592,0.0,0.0,6.8083333333333345
15,357,61426,0.0,0.0,1.0454545454545454
27,366,61247,0.0,0.0,2.0
205,3914,60937,0.0,0.0,1.0
149,2123,60832,0.0,0.0,2.0
142,1053,60450,0.0,0.0,74.0
151,1154,60450,0.0,0.0,73.94957983193277
193,2248,60385,0.0,0.0,2.0
198,2152,60018,0.0,0.0,1.9916666666666667
40,4716,59753,0.0,0.0,1.4090909090909092
174,1336,59064,0.0,0.0,1.0
150,3769,58712,0.0,0.0,2.0
204,3913,58178,0.0,0.0,1.0
141,1678,57578,0.0,0.0,14.325396825396826
181,1670,57436,0.0,0.0,26.0
267,1669,57130,0.0,0.0,24.0
265,2120,55853,0.0,0.0,2.0
145,3910,55471,0.0,0.0,1.02
206,2256,55057,0.0,0.0,2.0
170,1285,54500,0.0,0.0,1.0
29,382,54009,0.0,0.0,2.0
167,2109,53964,0.0,0.0,2.0
221,2111,53884,0.0,0.0,2.0
195,2110,53606,0.0,0.0,2.0
238,2102,53333,0.0,0.0,2.0
107,3833,52975,0.0,0.0,1.0851063829787233
156,1675,51865,0.0,0.0,14.28048780487805
76,2092,51828,0.0,0.0,2.0
154,2121,51664,0.0,0.0,2.130434782608696
10,3784,49980,0.0,0.0,1.488095238095238
132,2166,49489,0.0,0.0,2.0
75,2094,47579,0.0,0.0,2.0
202,3736,47264,0.0,0.0,1.0444444444444445
144,3911,46756,0.0,0.0,1.0
108,2089,46638,0.0,0.0,2.0
157,2246,45976,0.0,0.0,2.0
194,2265,45605,0.0,0.0,2.736111111111111
70,2065,43954,0.0,0.0,2.0
155,2247,43443,0.0,0.0,2.0
140,2108,43435,0.0,0.0,2.0
68,3677,42563,0.0,0.0,1.0
112,267,42434,0.0,0.0,250.0
125,5813,42292,0.0,0.0,4.5765580918184146
26,367,41087,0.0,0.0,1.0
203,3916,40022,0.0,0.0,1.0
52,2081,39397,0.0,0.0,1.671875
164,2151,39288,0.0,0.0,1.984375
168,3908,39147,0.0,0.0,1.0
113,2095,38614,0.0,0.0,1.05
109,354,37432,0.0,0.0,27.513513513513512
21,3771,37404,0.0,0.0,1.0
152,2253,37382,0.0,0.0,2.0
208,2167,37245,0.0,0.0,2.0
64,2161,36769,0.0,0.0,1.875
147,1682,36286,0.0,0.0,7.833333333333334
131,3735,36226,0.0,0.0,1.1111111111111112
134,2169,35382,0.0,0.0,1.9782608695652173
77,2160,35357,0.0,0.0,1.934782608695652
250,280,35327,0.0,0.0,9.714285714285715
278,2234,35244,0.0,0.0,2.0
186,2099,35073,0.0,0.0,1.065217391304348
279,2097,34325,0.0,0.0,2.0
148,3813,34014,0.0,0.0,1.984848484848485
207,2268,33735,0.0,0.0,2.0208333333333335
114,2124,33632,0.0,0.0,2.0
199,2149,33432,0.0,0.0,1.0416666666666667
31,393,33268,0.0,0.0,1.0
211,2254,32817,0.0,0.0,2.0
69,6577,31744,0.0,0.0,1.0
201,2117,31667,0.0,0.0,2.0
165,3909,31423,0.0,0.0,1.0
266,2137,31284,0.0,0.0,1.9411764705882353
264,2100,31063,0.0,0.0,2.0
163,2267,31009,0.0,0.0,2.0
50,3676,29014,0.0,0.0,1.0
65,2093,28871,0.0,0.0,2.0
138,2098,28712,0.0,0.0,1.0625
209,2150,28103,0.0,0.0,1.5
249,281,26915,0.0,0.0,9.714285714285714
233,2213,26540,0.0,0.0,1.0
25,370,25508,0.0,0.0,1.0
146,2148,25000,0.0,0.0,1.125
74,2063,24755,0.0,0.0,2.0
120,3127,23621,0.0,0.0,6.76320272572402
124,3128,21473,0.0,0.0,7.12706611570248
210,3912,21009,0.0,0.0,1.0
135,317,20209,0.0,0.0,27.529411764705884
240,2255,20093,0.0,0.0,2.0
